iter	Passed	Remaining
791	2240	588
792	2243	585
793	2246	582
794	2248	579
795	2249	576
796	2251	573
797	2253	570
798	2255	567
799	2257	564
800	2261	561
801	2263	558
802	2265	555
803	2267	552
804	2268	549
805	2270	546
806	2272	543
807	2277	541
808	2279	538
809	2281	535
810	2282	532
811	2284	528
812	2286	525
813	2289	523
814	2292	520
815	2293	517
816	2295	514
817	2297	511
818	2299	508
819	2300	505
820	2305	502
821	2307	499
822	2309	496
823	2311	493
824	2313	490
825	2314	487
826	2317	484
827	2320	482
828	2323	479
829	2325	476
830	2327	473
831	2329	470
832	2332	467
833	2337	465
834	2339	462
835	2341	459
836	2343	456
837	2345	453
838	2347	450
839	2349	447
840	2352	444
841	2353	441
842	2355	438
843	2357	435
844	2359	432
845	2361	429
846	2364	427
847	2367	424
848	2369	421
849	2371	418
850	2373	415
851	2375	412
852	2377	409
853	2380	407
854	2382	404
855	2384	401
856	2386	398
857	2388	395
858	2390	392
859	2392	389
860	2396	386
861	2398	383
862	2400	381
863	2402	378
864	2404	375
865	2405	372
866	2407	369
867	2411	366
868	2413	363
869	2415	361
870	2418	358
871	2420	355
872	2422	352
873	2425	349
874	2427	346
875	2429	343
876	2431	341
877	2433	338
878	2435	335
879	2437	332
880	2441	329
881	2443	326
882	2445	323
883	2446	321
884	2448	318
885	2450	315
886	2452	312
887	2454	309
888	2458	306
889	2459	304
890	2461	301
891	2463	298
892	2465	295
893	2467	292
894	2469	289
895	2472	286
896	2474	284
897	2476	281
898	2478	278
899	2479	275
900	2481	272
901	2483	269
902	2487	267
903	2489	264
904	2490	261
905	2492	258
906	2494	255
907	2496	252
908	2498	250
909	2502	247
910	2505	244
911	2507	241
912	2509	239
913	2511	236
914	2513	233
915	2517	230
916	2519	228
917	2521	225
918	2523	222
919	2525	219
920	2526	216
921	2528	213
922	2531	211
923	2533	208
924	2534	205
925	2536	202
926	2538	199
927	2540	197
928	2543	194
929	2545	191
930	2547	188
931	2549	185
932	2550	183
933	2552	180
934	2554	177
935	2556	174
936	2559	172
937	2561	169
938	2563	166
939	2565	163
940	2567	160
941	2569	158
942	2574	155
943	2577	152
944	2579	150
945	2581	147
946	2583	144
947	2585	141
948	2589	139
949	2591	136
950	2593	133
951	2595	130
952	2596	128
953	2598	125
954	2600	122
955	2604	119
956	2606	117
957	2608	114
958	2610	111
959	2612	108
960	2615	106
961	2619	103
962	2621	100
963	2623	97
964	2625	95
965	2627	92
966	2628	89
967	2630	86
968	2633	84
969	2636	81
970	2637	78
971	2639	76
972	2641	73
973	2643	70
974	2645	67
975	2646	65
976	2650	62
977	2652	59
978	2654	56
979	2656	54
980	2658	51
981	2659	48
982	2661	46
983	2665	43
984	2667	40
985	2669	37
986	2671	35
987	2673	32
988	2674	29
989	2676	27
990	2681	24
991	2683	21
992	2684	18
993	2686	16
994	2688	13
995	2690	10
996	2692	8
997	2696	5
998	2698	2
999	2701	0
